nid,access,base_speed,bridge,from,highway,junction,key,landuse,lanes,length,maxspeed,name,oneway,osmid,ref,service,to,weigth,tunnel,width,geometry
49217547,,25,,49217547,residential,,0,,,112.706,25 mph,Thorn Street,False,5945206,,,49217545,4.50824,,,"LINESTRING (-117.103363 32.740292, -117.1039823 32.7402965, -117.104568 32.740295)"
49217547,,25,,49217547,residential,,0,,,58.49,25 mph,Thorn Street,False,5945206,,,1688072063,2.3396,,,"LINESTRING (-117.1027377 32.7402843, -117.103363 32.740292)"
49217547,,25,,49217547,residential,,0,,,120.712,25 mph,Van Dyke Avenue,False,6004228,,,49467761,4.82848,,,"LINESTRING (-117.1033791 32.7392065, -117.1033712 32.7397387, -117.103363 32.740292)"
49217545,,25,,49217545,residential,,0,,,114.95700000000001,25 mph,Thorn Street,False,5945206,,,49217537,4.59828,,,"LINESTRING (-117.104568 32.740295, -117.104762 32.740298, -117.105213 32.740303, -117.105797 32.740307)"
49217545,,25,,49217545,residential,,0,,,207.94,25 mph,42nd Street,False,33413214,,,49350928,8.3176,,,"LINESTRING (-117.104553 32.742165, -117.104568 32.740295)"
49217545,,25,,49217545,residential,,0,,,112.706,25 mph,Thorn Street,False,5945206,,,49217547,4.50824,,,"LINESTRING (-117.103363 32.740292, -117.1039823 32.7402965, -117.104568 32.740295)"
49217537,,25,,49217537,residential,,0,,,207.67,25 mph,Marlborough Avenue,False,33413213,,,49443530,8.3068,,,"LINESTRING (-117.105807 32.7421746, -117.105797 32.740307)"
49217537,,25,,49217537,residential,,0,,,183.773,25 mph,Marlborough Avenue,False,33413213,,,49643211,7.3509199999999995,,,"LINESTRING (-117.1058281 32.7386545, -117.105797 32.740307)"
49217537,,25,,49217537,residential,,0,,,114.95700000000001,25 mph,Thorn Street,False,5945206,,,49217545,4.59828,,,"LINESTRING (-117.104568 32.740295, -117.104762 32.740298, -117.105213 32.740303, -117.105797 32.740307)"
49217537,,25,,49217537,residential,,0,,,114.20200000000001,25 mph,Thorn Street,False,5945206,,,49217534,4.56808,,,"LINESTRING (-117.107018 32.740314, -117.1064443 32.7403107, -117.105797 32.740307)"
49443530,,25,,49443530,residential,,0,,,207.67,25 mph,Marlborough Avenue,False,33413213,,,49217537,8.3068,,,"LINESTRING (-117.105807 32.7421746, -117.105797 32.740307)"
49443530,,25,,49443530,residential,,0,,,117.289,25 mph,Myrtle Avenue,False,6001179,,,49350928,4.69156,,,"LINESTRING (-117.105807 32.7421746, -117.1051875 32.7421686, -117.104553 32.742165)"
49443530,,25,,49443530,residential,,0,,,207.548,25 mph,Marlborough Avenue,False,33413213,,,49144831,8.301919999999999,,,"LINESTRING (-117.1057816 32.744041, -117.105807 32.7421746)"
49443530,,25,,49443530,residential,,0,,,110.368,25 mph,Myrtle Avenue,False,6001179,,,49410254,4.41472,,,"LINESTRING (-117.106987 32.742184, -117.106378 32.74218, -117.105807 32.7421746)"
49144831,,25,,49144831,residential,,0,,,209.78900000000002,25 mph,Marlborough Avenue,False,33413213,,,49152864,8.39156,,,"LINESTRING (-117.1057816 32.744041, -117.105743 32.7459274)"
49144831,,25,,49144831,residential,,0,,,207.548,25 mph,Marlborough Avenue,False,33413213,,,49443530,8.301919999999999,,,"LINESTRING (-117.1057816 32.744041, -117.105807 32.7421746)"
49144831,,25,,49144831,residential,,0,,,112.00200000000001,25 mph,Dwight Street,False,5965529,,,49144828,4.48008,,,"LINESTRING (-117.1057816 32.744041, -117.106415 32.74405, -117.106979 32.744057)"
49144831,,25,,49144831,residential,,0,,,117.057,25 mph,Dwight Street,False,5965529,,,49144834,4.68228,,,"LINESTRING (-117.10453 32.744038, -117.105191 32.744041, -117.1057816 32.744041)"
49144828,,25,,49144828,residential,,0,,,208.27900000000002,25 mph,41st Street,False,5995473,,,49152862,8.33116,,,"LINESTRING (-117.106979 32.744057, -117.106956 32.74593)"
49144828,,25,,49144828,residential,,0,,,117.09700000000001,25 mph,Dwight Street,False,5965529,,,49144827,4.68388,,,"LINESTRING (-117.106979 32.744057, -117.1076337 32.7440607, -117.108231 32.744064)"
49144828,,25,,49144828,residential,,0,,,208.27,25 mph,41st Street,False,5995473,,,49410254,8.3308,,,"LINESTRING (-117.106987 32.742184, -117.106979 32.744057)"
49144828,,25,,49144828,residential,,0,,,112.00200000000001,25 mph,Dwight Street,False,5965529,,,49144831,4.48008,,,"LINESTRING (-117.1057816 32.744041, -117.106415 32.74405, -117.106979 32.744057)"
49152862,,25,,49152862,residential,,0,,,117.09899999999999,25 mph,Landis Street,False,33413195,,,49152858,4.68396,,,"LINESTRING (-117.106956 32.74593, -117.107498 32.745936, -117.1076161 32.7459368, -117.108208 32.745941)"
49152862,,25,,49152862,residential,,0,,,208.27900000000002,25 mph,41st Street,False,5995473,,,49144828,8.33116,,,"LINESTRING (-117.106979 32.744057, -117.106956 32.74593)"
49152862,,25,,49152862,residential,,0,,,207.38400000000001,25 mph,41st Street,False,5995473,,,49410255,8.29536,,,"LINESTRING (-117.106941 32.747795, -117.106956 32.74593)"
49152862,,25,,49152862,residential,,0,,,113.45200000000001,25 mph,Landis Street,False,33413195,,,49152864,4.53808,,,"LINESTRING (-117.105743 32.7459274, -117.1063786 32.7459345, -117.106956 32.74593)"
49410255,,25,,49410255,residential,,0,,,207.38400000000001,25 mph,41st Street,False,5995473,,,49152862,8.29536,,,"LINESTRING (-117.106941 32.747795, -117.106956 32.74593)"
49410255,,25,,49410255,tertiary,,0,,,115.602,25 mph,Wightman Street,False,641705107,,,49631908,4.62408,,,"LINESTRING (-117.106941 32.747795, -117.107564 32.747803, -117.108177 32.747807)"
49410255,,25,,49410255,tertiary,,0,,,114.852,25 mph,Wightman Street,False,25450294,,,49631911,4.59408,,,"LINESTRING (-117.106941 32.747795, -117.10635 32.7477873, -117.105713 32.747784)"
49410255,,25,,49410255,residential,,0,,,207.426,25 mph,41st Street,False,641705106,,,49251143,8.297039999999999,,,"LINESTRING (-117.106941 32.747795, -117.1069331 32.7491191, -117.1069299 32.7496604)"
49631908,,25,,49631908,residential,,0,,,207.51,25 mph,Central Avenue,False,33413210,,,49152858,8.3004,,,"LINESTRING (-117.108177 32.747807, -117.108208 32.745941)"
49631908,,25,,49631908,residential,,0,,,137.341,25 mph,Central Avenue,False,33413210,,,1332017331,5.49364,,,"LINESTRING (-117.1080606 32.7490166, -117.1081691 32.7488662, -117.108177 32.747807)"
49631908,,25,,49631908,tertiary,,0,,,115.602,25 mph,Wightman Street,False,641705107,,,49410255,4.62408,,,"LINESTRING (-117.106941 32.747795, -117.107564 32.747803, -117.108177 32.747807)"
49631908,,25,yes,49631908,tertiary,,0,,,123.948,25 mph,Wightman Street,False,"[594117736, 641705107, 37812447]",,,49541777,4.95792,,,"LINESTRING (-117.1095023 32.7478151, -117.1092575 32.7478131, -117.1083563 32.747808, -117.108177 32.747807)"
